Date,Training_time,Sent_commands
2020_12_06_16_50_38,2.8131368160247803,2143
2020_12_06_16_50_46,3.336463212966919,2232
2020_12_06_16_50_55,3.409785032272339,2179
2020_12_06_16_51_03,3.0211431980133057,2154
2020_12_06_16_51_11,2.9585890769958496,2106
2020_12_06_16_51_19,2.7795913219451904,2153
2020_12_06_16_51_27,3.0557870864868164,2208
2020_12_06_16_51_35,2.8575289249420166,2159
2020_12_06_16_51_43,2.721581220626831,2110
2020_12_06_16_51_51,2.8597731590270996,2212
