Date,Training_time,Sent_commands
2020_12_06_16_51_59,2.80881404876709,2119
2020_12_06_16_52_06,2.897002935409546,2135
2020_12_06_16_52_14,2.705731153488159,2190
2020_12_06_16_52_22,3.9239449501037598,2197
2020_12_06_16_52_31,2.766481876373291,2158
2020_12_06_16_52_39,2.758481979370117,2201
2020_12_06_16_52_47,2.7745983600616455,2182
2020_12_06_16_52_55,2.73541522026062,2128
2020_12_06_16_53_02,2.7933759689331055,2139
2020_12_06_16_53_10,2.644045114517212,2172
