Episodes,Reward,CumReward,Timesteps
340,0,166,4
341,-13,153,6
342,0,153,5
343,-2,151,5
344,-2,149,6
345,-4,145,7
346,1,146,4
347,1,147,4
348,0,147,4
349,-2,145,5
350,0,145,5
351,1,146,4
352,-11,135,5
353,2,137,3
354,96,233,7
355,-2,231,5
356,99,330,5
357,-8,322,3
358,0,322,4
359,0,322,5
360,1,323,4
361,-1,322,5
362,0,322,4
363,1,323,4
364,-2,321,5
365,-4,317,6
366,-16,301,7
367,96,397,7
368,-4,393,6
369,1,394,4
370,1,395,4
371,0,395,4
372,1,396,4
373,92,488,9
374,-2,486,5
375,2,488,3
376,-3,485,6
377,0,485,4
378,-4,481,6
379,-1,480,5
380,-2,478,5
381,-1,477,5
382,2,479,3
383,-2,477,5
384,2,479,3
385,-2,477,5
386,2,479,3
387,-2,477,5
388,-2,475,5
389,1,476,4
390,-2,474,6
391,-4,470,6
392,-11,459,5
393,-2,457,5
394,0,457,4
395,-1,456,5
396,1,457,4
397,92,549,4
398,-2,547,5
399,-2,545,5
400,-1,544,5
401,1,545,4
402,-6,539,7
403,0,539,4
404,-10,529,4
405,-1,528,5
406,-1,527,5
407,-8,519,4
408,-4,515,6
409,-8,507,3
410,0,507,4
411,-1,506,5
412,-1,505,5
413,-2,503,6
414,-6,497,7
415,0,497,4
416,2,499,3
417,0,499,4
418,0,499,4
419,2,501,3
420,1,502,4
421,-4,498,6
422,-3,495,7
423,-2,493,5
424,-9,484,4
425,0,484,4
426,0,484,4
427,-9,475,4
428,-2,473,6
429,-4,469,6
430,-1,468,5
431,0,468,5
432,-8,460,3
433,-1,459,5
434,-2,457,5
435,0,457,5
436,0,457,4
437,0,457,4
438,-11,446,5
439,0,446,5
440,0,446,4
441,0,446,4
442,-10,436,5
443,-8,428,9
444,-4,424,7
445,2,426,3
446,0,426,4
447,-8,418,4
448,0,418,4
449,0,418,4
450,-7,411,3
451,-5,406,7
452,0,406,4
453,1,407,4
454,-2,405,5
455,-2,403,6
456,-1,402,5
457,0,402,4
458,-2,400,5
459,-4,396,7
460,-1,395,5
461,-4,391,6
462,-9,382,10
463,2,384,3
464,-3,381,6
465,1,382,4
466,1,383,4
467,-5,378,7
468,2,380,3
469,-2,378,6
470,-2,376,5
471,0,376,4
472,-2,374,6
473,-2,372,5
474,-2,370,6
475,2,372,3
476,-2,370,5
477,-2,368,5
478,1,369,4
479,-1,368,5
480,-2,366,5
481,-3,363,7
482,2,365,3
483,-2,363,5
484,98,461,6
485,-1,460,5
486,-4,456,7
487,-11,445,5
488,-1,444,5
489,-5,439,8
490,-3,436,6
491,-6,430,7
492,-9,421,4
493,1,422,4
494,2,424,3
495,-6,418,8
496,0,418,5
497,-9,409,4
498,-4,405,6
499,0,405,4
500,-2,403,5
501,-1,402,5
502,1,403,4
503,0,403,4
504,1,404,4
505,-10,394,4
506,99,493,5
507,0,493,4
508,0,493,4
509,98,591,6
510,-4,587,6
511,101,688,4
512,1,689,4
513,-7,682,3
514,-1,681,5
515,99,780,5
516,0,780,4
517,-2,778,5
518,0,778,4
519,96,874,7
520,-2,872,5
521,-4,868,7
522,-3,865,6
523,-1,864,5
524,-4,860,8
525,-3,857,6
526,-9,848,4
527,0,848,5
528,0,848,4
529,-4,844,6
530,-8,836,3
531,97,933,6
532,-6,927,7
533,0,927,4
534,98,1025,6
535,2,1027,3
536,1,1028,4
537,-2,1026,6
538,1,1027,4
539,-2,1025,5
540,89,1114,6
541,1,1115,4
542,-4,1111,7
543,2,1113,3
544,0,1113,4
545,2,1115,3
546,-1,1114,5
547,101,1215,4
548,-1,1214,5
549,0,1214,4
550,-3,1211,6
551,-3,1208,6
552,101,1309,4
553,2,1311,3
554,1,1312,4
555,0,1312,4
556,-2,1310,5
557,-3,1307,7
558,-2,1305,5
559,-2,1303,5
560,-3,1300,6
561,-1,1299,5
562,-1,1298,5
563,-3,1295,6
564,2,1297,3
565,-2,1295,5
566,-2,1293,5
567,0,1293,4
568,-1,1292,5
569,-2,1290,5
570,0,1290,4
571,-10,1280,5
572,-1,1279,5
573,1,1280,4
574,-1,1279,5
575,-3,1276,6
576,-1,1275,5
577,-4,1271,6
578,1,1272,4
579,-4,1268,6
580,-1,1267,5
581,-1,1266,5
582,1,1267,4
583,0,1267,4
584,0,1267,4
585,1,1268,4
586,-4,1264,6
587,-2,1262,5
588,1,1263,4
589,-7,1256,3
590,-2,1254,5
591,0,1254,4
592,0,1254,4
593,0,1254,4
594,2,1256,3
595,2,1258,3
596,-9,1249,4
597,96,1345,7
598,-1,1344,5
599,0,1344,4
600,-1,1343,5
601,1,1344,4
602,-1,1343,5
603,-3,1340,6
604,2,1342,3
605,-2,1340,5
606,1,1341,4
607,-3,1338,6
608,-10,1328,4
609,0,1328,4
610,1,1329,4
611,1,1330,4
612,-1,1329,5
613,0,1329,4
614,-1,1328,5
615,0,1328,4
616,-4,1324,6
617,101,1425,4
618,-10,1415,4
619,-1,1414,5
620,101,1515,4
