Episodes,Reward,CumReward,Timesteps
0,-16,-16,13
1,-21,-37,11
2,-22,-59,19
3,-8,-67,10
4,-31,-98,17
5,-20,-118,16
6,-34,-152,19
7,-12,-164,12
8,-41,-205,24
9,-7,-212,9
10,-41,-253,23
11,-17,-270,15
12,-35,-305,19
13,-34,-339,20
14,-12,-351,11
15,-26,-377,15
16,-18,-395,15
17,-17,-412,16
18,-23,-435,18
19,-21,-456,17
20,-21,-477,12
21,-6,-483,8
22,-35,-518,20
23,-18,-536,15
24,-12,-548,12
25,-29,-577,16
26,-23,-600,13
27,-6,-606,9
28,-31,-637,17
29,-14,-651,13
30,-31,-682,16
31,-15,-697,13
32,-13,-710,13
33,-22,-732,11
34,-7,-739,8
35,-11,-750,12
36,-14,-764,14
37,-11,-775,12
38,-10,-785,5
39,-9,-794,9
40,-16,-810,14
41,-11,-821,13
42,0,-821,5
43,-21,-842,16
44,-19,-861,11
45,-28,-889,15
46,-5,-894,8
47,-3,-897,6
48,-20,-917,11
49,-11,-928,10
50,-12,-940,12
51,-8,-948,9
52,-7,-955,8
53,-10,-965,10
54,-6,-971,8
55,-23,-994,13
56,-5,-999,8
57,-7,-1006,9
58,-1,-1007,5
59,-13,-1020,11
60,-8,-1028,9
61,-7,-1035,9
62,-4,-1039,7
63,1,-1038,4
64,-7,-1045,9
65,-4,-1049,7
66,-17,-1066,8
67,-2,-1068,5
68,-18,-1086,15
69,-5,-1091,7
70,-11,-1102,6
71,-2,-1104,6
72,-14,-1118,7
73,-5,-1123,7
74,-1,-1124,5
75,-2,-1126,5
76,-4,-1130,8
77,-7,-1137,8
78,-1,-1138,5
79,-16,-1154,8
80,-3,-1157,6
81,-8,-1165,9
82,-5,-1170,8
83,-2,-1172,6
84,-8,-1180,9
85,-1,-1181,5
86,-4,-1185,7
87,-2,-1187,5
88,-1,-1188,5
89,-4,-1192,7
90,-1,-1193,5
91,-5,-1198,7
92,-12,-1210,11
93,-5,-1215,8
94,-6,-1221,8
95,-11,-1232,5
96,-8,-1240,10
97,-3,-1243,6
98,99,-1144,6
99,-10,-1154,10
100,-4,-1158,7
101,90,-1068,11
102,-14,-1082,12
103,-3,-1085,6
104,94,-991,9
105,-5,-996,7
106,-3,-999,6
107,0,-999,4
108,0,-999,4
109,-3,-1002,6
110,-2,-1004,6
111,-3,-1007,6
112,-2,-1009,6
113,-2,-1011,6
114,-12,-1023,6
115,-4,-1027,6
116,-1,-1028,5
117,-1,-1029,5
118,96,-933,7
119,-9,-942,4
120,1,-941,4
121,-7,-948,8
122,-13,-961,6
123,-17,-978,9
124,-1,-979,5
125,-2,-981,5
126,1,-980,4
127,0,-980,4
128,-1,-981,5
129,2,-979,3
130,-6,-985,8
131,-1,-986,5
132,89,-897,12
133,-2,-899,5
134,1,-898,4
135,0,-898,4
136,0,-898,4
137,0,-898,4
138,91,-807,10
139,0,-807,4
140,-2,-809,6
141,1,-808,4
142,-1,-809,5
143,95,-714,8
144,-3,-717,6
145,88,-629,11
146,-3,-632,7
147,-3,-635,6
148,0,-635,5
149,-10,-645,4
150,-3,-648,6
151,-1,-649,5
152,-6,-655,7
153,-1,-656,5
154,1,-655,4
155,1,-654,4
156,-4,-658,6
157,-12,-670,5
158,-1,-671,5
159,-10,-681,4
160,-9,-690,4
161,1,-689,4
162,-1,-690,5
163,0,-690,4
164,1,-689,4
165,-1,-690,5
166,2,-688,3
167,95,-593,8
168,-2,-595,6
169,-7,-602,8
170,0,-602,4
171,-11,-613,5
172,-3,-616,7
173,-6,-622,7
174,-16,-638,8
175,0,-638,4
176,1,-637,4
177,2,-635,3
178,-3,-638,6
179,-5,-643,7
180,0,-643,5
181,0,-643,4
182,0,-643,4
183,0,-643,4
184,1,-642,4
185,-2,-644,6
186,1,-643,4
187,-4,-647,6
188,-6,-653,7
189,-4,-657,7
190,-11,-668,5
191,-11,-679,5
192,0,-679,5
193,-1,-680,5
194,0,-680,4
195,-5,-685,7
196,2,-683,3
197,-3,-686,6
198,-4,-690,6
199,0,-690,4
200,-10,-700,4
201,-2,-702,5
202,0,-702,5
203,1,-701,4
204,-13,-714,6
205,97,-617,7
206,1,-616,4
207,2,-614,3
208,0,-614,4
209,-4,-618,6
210,-6,-624,7
211,0,-624,4
212,2,-622,3
213,-8,-630,9
214,-1,-631,5
215,-2,-633,5
216,88,-545,11
217,1,-544,4
218,2,-542,3
219,-3,-545,6
220,-16,-561,7
221,0,-561,4
222,0,-561,5
223,-10,-571,4
224,0,-571,4
225,-2,-573,5
226,-3,-576,6
227,2,-574,3
228,-6,-580,8
229,2,-578,3
230,0,-578,4
231,0,-578,4
232,98,-480,6
233,-2,-482,5
234,2,-480,3
235,0,-480,5
236,1,-479,4
237,0,-479,4
238,94,-385,8
239,-1,-386,5
240,1,-385,4
241,-2,-387,5
242,2,-385,3
243,1,-384,4
244,-2,-386,6
245,1,-385,4
246,-2,-387,6
247,-2,-389,5
248,-2,-391,5
249,0,-391,4
250,97,-294,7
251,0,-294,4
252,2,-292,3
253,-2,-294,5
254,-1,-295,5
255,91,-204,11
256,-2,-206,5
257,1,-205,4
258,85,-120,8
259,-2,-122,5
260,-4,-126,6
261,-3,-129,7
262,0,-129,5
263,-8,-137,3
264,1,-136,4
265,1,-135,4
266,-10,-145,4
267,-11,-156,5
268,-14,-170,6
269,-18,-188,8
270,2,-186,3
271,-2,-188,5
272,1,-187,4
273,1,-186,4
274,0,-186,4
275,0,-186,4
276,2,-184,3
277,0,-184,4
278,-2,-186,5
279,1,-185,4
280,0,-185,4
281,-12,-197,6
282,-3,-200,7
283,-2,-202,5
284,-8,-210,8
285,0,-210,5
286,-1,-211,5
287,-8,-219,3
288,-2,-221,5
289,-4,-225,6
290,94,-131,8
291,-1,-132,5
292,98,-34,6
293,-8,-42,4
294,-6,-48,7
295,-2,-50,5
296,-1,-51,6
297,2,-49,3
298,0,-49,4
299,0,-49,4
300,2,-47,3
301,0,-47,4
302,0,-47,4
303,100,53,5
304,-1,52,5
305,0,52,4
306,-10,42,4
307,1,43,4
308,-2,41,6
309,-1,40,5
310,0,40,4
311,0,40,4
312,94,134,8
313,-10,124,4
314,0,124,4
315,1,125,4
316,-3,122,6
317,-6,116,8
318,-1,115,5
319,-3,112,6
320,-3,109,6
321,-5,104,7
322,-1,103,5
323,-2,101,5
324,-4,97,6
325,-2,95,5
326,-5,90,8
327,-6,84,8
328,0,84,4
329,-1,83,5
330,0,83,4
331,-1,82,5
332,2,84,3
333,0,84,4
334,0,84,4
335,0,84,5
336,1,85,4
337,2,87,3
338,-4,83,6
339,2,85,3
340,-3,82,6
341,-1,81,5
342,-2,79,6
343,-4,75,6
344,-10,65,4
345,-5,60,7
346,-5,55,7
347,2,57,3
348,100,157,5
349,1,158,4
350,-2,156,5
351,-10,146,4
352,-3,143,6
353,-4,139,7
354,1,140,4
355,-9,131,4
356,-4,127,7
357,-2,125,5
358,0,125,4
359,2,127,3
360,-2,125,6
361,2,127,3
362,0,127,5
363,-8,119,9
