Episodes,Reward,CumReward,Timesteps
0,88,88,11
1,96,184,6
2,59,243,29
3,93,336,8
4,86,422,13
5,79,501,18
6,68,569,24
7,73,642,20
8,81,723,16
9,83,806,15
10,75,881,19
11,94,975,8
12,78,1053,17
13,93,1146,9
14,91,1237,10
15,88,1325,12
16,88,1413,12
17,88,1501,12
18,95,1596,8
19,97,1693,7
20,92,1785,9
21,86,1871,12
22,97,1968,7
23,88,2056,12
24,90,2146,11
25,91,2237,11
26,94,2331,9
27,87,2418,13
28,95,2513,7
29,96,2609,7
30,95,2704,8
31,88,2792,11
32,83,2875,14
33,91,2966,9
34,91,3057,10
35,95,3152,7
36,91,3243,9
37,93,3336,8
38,98,3434,6
39,89,3523,10
40,95,3618,7
41,89,3707,10
42,84,3791,13
43,81,3872,15
44,92,3964,9
45,95,4059,7
46,96,4155,7
47,91,4246,9
48,80,4326,15
49,84,4410,13
50,95,4505,8
51,96,4601,6
52,91,4692,9
53,96,4788,7
54,96,4884,7
55,96,4980,7
56,96,5076,6
57,95,5171,7
58,92,5263,9
59,96,5359,6
60,95,5454,8
61,90,5544,10
62,81,5625,16
63,87,5712,11
64,95,5807,7
65,84,5891,12
66,84,5975,13
67,90,6065,10
68,97,6162,6
69,86,6248,12
70,93,6341,9
71,98,6439,6
72,98,6537,6
73,97,6634,7
74,99,6733,6
75,88,6821,15
76,99,6920,6
77,92,7012,10
78,86,7098,15
79,91,7189,10
80,97,7286,6
81,96,7382,8
82,95,7477,8
83,93,7570,9
84,97,7667,7
85,88,7755,14
86,95,7850,9
87,92,7942,11
88,90,8032,12
89,97,8129,6
90,94,8223,10
91,95,8318,7
92,96,8414,7
93,98,8512,6
94,91,8603,11
95,98,8701,6
96,96,8797,7
97,96,8893,7
98,94,8987,8
99,89,9076,13
100,88,9164,11
101,96,9260,10
102,97,9357,7
103,97,9454,7
104,97,9551,6
105,92,9643,11
106,97,9740,7
107,98,9838,6
108,90,9928,12
109,96,10024,8
110,92,10116,12
111,98,10214,6
112,82,10296,19
113,96,10392,7
114,93,10485,10
115,96,10581,7
116,94,10675,8
117,92,10767,10
118,97,10864,7
119,96,10960,8
120,89,11049,14
121,95,11144,8
122,82,11226,18
123,96,11322,7
124,92,11414,9
125,92,11506,10
126,90,11596,13
127,95,11691,9
128,83,11774,16
129,98,11872,6
130,91,11963,12
131,91,12054,10
132,96,12150,7
133,93,12243,9
134,89,12332,14
135,95,12427,8
136,94,12521,8
137,91,12612,11
138,94,12706,8
139,94,12800,9
140,90,12890,11
141,96,12986,8
142,96,13082,8
143,93,13175,12
144,89,13264,13
145,93,13357,9
146,98,13455,6
147,88,13543,13
148,92,13635,10
149,98,13733,7
150,89,13822,14
151,98,13920,6
152,96,14016,7
153,93,14109,9
154,98,14207,6
155,88,14295,14
156,96,14391,7
157,95,14486,7
158,98,14584,6
159,92,14676,10
160,96,14772,8
161,95,14867,7
162,89,14956,12
163,92,15048,11
164,86,15134,15
165,98,15232,6
166,92,15324,10
167,96,15420,8
168,85,15505,15
169,95,15600,8
170,88,15688,12
171,94,15782,8
172,97,15879,7
173,94,15973,8
174,92,16065,11
175,94,16159,9
176,91,16250,10
177,96,16346,7
178,97,16443,7
179,97,16540,7
180,95,16635,9
181,94,16729,8
182,94,16823,9
183,90,16913,14
184,94,17007,10
185,95,17102,9
186,97,17199,7
187,94,17293,9
188,91,17384,12
189,93,17477,10
190,95,17572,7
191,86,17658,15
192,95,17753,8
193,91,17844,11
194,97,17941,7
195,91,18032,11
196,95,18127,8
197,91,18218,10
198,89,18307,11
199,98,18405,6
200,95,18500,8
201,93,18593,10
202,94,18687,9
203,93,18780,10
204,95,18875,8
205,97,18972,7
206,92,19064,11
207,95,19159,8
208,95,19254,7
209,78,19332,21
210,94,19426,8
211,97,19523,7
212,95,19618,8
213,90,19708,13
214,90,19798,13
215,97,19895,7
216,93,19988,9
217,91,20079,12
218,90,20169,12
219,98,20267,6
220,91,20358,11
221,95,20453,8
222,96,20549,7
223,96,20645,8
224,96,20741,8
225,89,20830,13
226,91,20921,13
227,92,21013,10
228,93,21106,8
229,94,21200,8
230,95,21295,7
231,97,21392,7
232,94,21486,10
233,94,21580,8
234,97,21677,7
235,91,21768,13
236,94,21862,9
237,94,21956,9
238,89,22045,11
239,96,22141,7
240,97,22238,7
241,95,22333,8
242,94,22427,8
243,98,22525,6
244,89,22614,12
245,96,22710,7
246,90,22800,12
247,94,22894,10
248,95,22989,8
249,87,23076,13
250,91,23167,14
251,90,23257,13
252,97,23354,7
253,97,23451,7
254,88,23539,14
255,90,23629,12
256,96,23725,7
257,98,23823,6
258,97,23920,6
259,97,24017,7
260,95,24112,7
261,98,24210,6
262,90,24300,4
263,96,24396,8
